station_name,latitude,longitude,source_type,kgis_code,station_code,department_code,raw_file
Sindanur Rural PS,15.7866682997685,76.7695212001342,Karnataka Police Station,29559054636011970000HMPOLPUOFFPOS0001,PS - 66,164610976,9181e6ed-6164-430b-8b10-238ad7b8ab45.kml
Sindhanur Town PS,15.7681762000945,76.7561612004575,Karnataka Police Station,29559054636011970000HMPOLPUOFFPOS0002,PS - 67,164610975,9181e6ed-6164-430b-8b10-238ad7b8ab45.kml
Turvihal PS,15.7587392999127,76.5965000004169,Karnataka Police Station,29559054636010740000HMPOLPUOFFPOS0001,PS - 68,164610979,9181e6ed-6164-430b-8b10-238ad7b8ab45.kml
Bagewadi PS,15.7761522323095,74.6373274007038,Karnataka Police Station,29555054385977810000HMPOLPUOFFPOS0001,PS - 69,169821456,9181e6ed-6164-430b-8b10-238ad7b8ab45.kml
Belagavi Rural PS,15.8331710002305,74.5145610002729,Karnataka Police Station,29555054388030330000HMPOLPUOFFPOS0001,PS - 70,169820310,9181e6ed-6164-430b-8b10-238ad7b8ab45.kml
Kakati PS,15.9298600000182,74.5275059997213,Karnataka Police Station,29555054385977920000HMPOLPUOFFPOS0001,PS - 71,169820311,9181e6ed-6164-430b-8b10-238ad7b8ab45.kml
Marihal PS,15.881446000451,74.6641959999116,Karnataka Police Station,29555054385977590000HMPOLPUOFFPOS0001,PS - 72,169821457,9181e6ed-6164-430b-8b10-238ad7b8ab45.kml
Belagavi Camp PS,15.8547100001631,74.5045500000356,Karnataka Police Station,29555054388030340000HMPOLPUOFFPOS0001,PS - 73,169820303,9181e6ed-6164-430b-8b10-238ad7b8ab45.kml
Khadebazar PS,15.8623789997161,74.5107350003864,Karnataka Police Station,29555054388030340000HMPOLPUOFFPOS0002,PS - 74,169820301,9181e6ed-6164-430b-8b10-238ad7b8ab45.kml
Thilakwadi PS,15.8359440002916,74.5015349995826,Karnataka Police Station,29555054388030340000HMPOLPUOFFPOS0003,PS - 75,169820302,9181e6ed-6164-430b-8b10-238ad7b8ab45.kml
Udyambag PS,15.8206879996397,74.4914090001479,Karnataka Police Station,29555054388030330000HMPOLPUOFFPOS0002,PS - 76,169821455,9181e6ed-6164-430b-8b10-238ad7b8ab45.kml
Belagavi City Women PS,15.8577009658827,74.5058495227933,Karnataka Police Station,29555054388030340000HMPOLPUOFFPOS0004,PS - 77,169821453,9181e6ed-6164-430b-8b10-238ad7b8ab45.kml
APMC Yard PS,15.8839949997159,74.5085170002766,Karnataka Police Station,29555054385977940000HMPOLPUOFFPOS0001,PS - 78,169820298,9181e6ed-6164-430b-8b10-238ad7b8ab45.kml
Malamaruthi PS,15.8818603611202,74.5288709365525,Karnataka Police Station,29555054388030340000HMPOLPUOFFPOS0005,PS - 79,169820297,9181e6ed-6164-430b-8b10-238ad7b8ab45.kml
Belagavi Market PS,15.8624710003501,74.5196670000549,Karnataka Police Station,29555054388030340000HMPOLPUOFFPOS0006,PS - 80,169820292,9181e6ed-6164-430b-8b10-238ad7b8ab45.kml
Shahapura PS,15.8380890003073,74.5180130001751,Karnataka Police Station,29555054388030330000HMPOLPUOFFPOS0003,PS - 81,169820296,9181e6ed-6164-430b-8b10-238ad7b8ab45.kml
Cubbon Park PS,12.9800298427157,77.5979641429556,Karnataka Police Station,29572055428031620000HMPOLPUOFFPOS0003,PS - 84,164431398,9181e6ed-6164-430b-8b10-238ad7b8ab45.kml
Vidhana Soudha PS,12.9773209692159,77.5886142885905,Karnataka Police Station,29572055428031620000HMPOLPUOFFPOS0004,PS - 85,164431397,9181e6ed-6164-430b-8b10-238ad7b8ab45.kml
Viveknagar PS,12.951547000394,77.6222989999259,Karnataka Police Station,29572055428031620000HMPOLPUOFFPOS0005,PS - 86,164431390,9181e6ed-6164-430b-8b10-238ad7b8ab45.kml
